"Reference","Value","Footprint","Mouser","Menge"
"C1, C3","100nF","Capacitor_SMD:C_0805_2012Metric","CL21B104KBCNNNL","2"
"C2, C4","10u","Capacitor_SMD:C_1206_3216Metric","CL31A106MAHNNNE","2"
"C5","330u","Capacitor_SMD:CP_Elec_6.3x7.7","EEE-FKA331XSP","1"
"D1","BZT52C6V8","Diode_SMD:D_SOD-123F","BZT52C6V8-7-F ","1"
"J1","5V_In","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","N/A","1"
"J2, J5","Ground","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","N/A","2"
"J3","5V","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","N/A","1"
"J4","LED_DATA","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","N/A","1"
"Q1","FDN340P","Package_TO_SOT_SMD:SOT-23","FDN340P","1"
"R1-R4","10k","Resistor_SMD:R_0805_2012Metric","CR0805-JW-103ELF","4"
"R5","100k","Resistor_SMD:R_0805_2012Metric","CR0805-JW-104ELF","1"
"U1","ESP-12F","RF_Module:ESP-12E","Im Labor","1"
"U2","LT1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","Im Labor","1"
